Index,State,Year,Population,Studio,One Bedroom,Two Bedroom,Three Bedroom,Four Bedroom,Studio_Percent_Change,One_Bedroom_Percent_Change,Two_Bedroom_Percent_Change,Three_Bedroom_Percent_Change,Four_Bedroom_Percent_Change
217,NC,2018,95354.83,602.89,627.72,773.1,1037.96,1239.17,4.662951582382857,4.025321909749291,4.142250959789862,3.9134221670487745,4.566013535179669
218,NC,2019,95354.83,617.04,638.19,784.3,1050.8,1260.67,2.347028479490443,1.6679411202447092,1.4487129737420723,1.2370418898608682,1.7350323200206574
219,NC,2020,100525.6,633.14,651.65,799.12,1062.55,1282.35,2.609231168157655,2.1090897695043687,1.8895830677036818,1.1181956604491727,1.7197204661013377
220,NC,2021,100525.6,657.3,674.45,825.05,1089.86,1312.96,3.815901696307278,3.498810711271405,3.2448193012313498,2.5702319890828607,2.3870238234491525
221,NC,2022,100525.6,684.6,708.88,864.77,1134.8,1368.58,4.15335463258788,5.10490028912447,4.814253681595049,4.12346539922559,4.236229588106255
222,NC,2023,103862.27,751.61,781.94,946.68,1233.93,1486.67,9.788197487583993,10.306398826317587,9.47188269713335,8.735459992950311,8.62865159508397
223,NC,2024,103862.27,865.55,900.89,1082.91,1407.55,1676.67,15.159457697476086,15.212164616210956,14.390290277601746,14.070490222297849,12.780240403048415
225,ND,2018,12690.396226415094,592.0,609.0377358490566,764.4905660377359,1063.377358490566,1187.622641509434,-0.9251949856326269,-1.4562217608987682,-2.142253351044543,-1.9519493397818555,-0.009531374106419577
226,ND,2019,12690.396226415094,605.4150943396227,624.6415094339623,779.2075471698113,1066.7735849056603,1223.7735849056603,2.2660632330443686,2.5620372378326373,1.9250703391085366,0.31938111038165573,3.043975597356363
227,ND,2020,14065.471698113208,596.2452830188679,613.9433962264151,765.622641509434,1053.3962264150944,1201.566037735849,-1.5146320939944613,-1.7126804808796026,-1.7434258317594042,-1.254001662569193,-1.8146777674992287
228,ND,2021,14065.471698113208,606.2264150943396,621.7169811320755,780.7358490566038,1074.1698113207547,1212.7169811320755,1.6739976583019622,1.2661729002120703,1.9739760461333855,1.9720580333154158,0.9280341692445404
229,ND,2022,14065.471698113208,622.5849056603773,637.811320754717,797.6603773584906,1084.2641509433963,1261.245283018868,2.698412698412711,2.5886923006888996,2.167766258246928,0.9397340640424412,4.001618072626556
230,ND,2023,14347.056603773584,685.188679245283,705.5094339622641,878.5283018867924,1190.377358490566,1431.0,10.055459587235195,10.614128505502297,10.138139842936877,9.786656457731514,13.459294497800922
231,ND,2024,14347.056603773584,722.0,742.8490566037735,911.2641509433962,1224.3962264150944,1495.4716981132076,5.372435632658679,5.292575952075307,3.726214509686021,2.857822158820733,4.505359756338745
