Index,Year,State,County,Population,Studio,One Bedroom,Two Bedroom,Three Bedroom,Four Bedroom
243,2024,CA,Yolo County,218774,1497.0,1507.0,1980.0,2717.0,3169.0
244,2024,CA,Yuba County,77524,1125.0,1132.0,1461.0,2059.0,2479.0
245,2024,CO,Adams County,509844,1658.0,1835.0,2201.0,2874.0,3225.0
246,2024,CO,Alamosa County,16153,815.0,820.0,1061.0,1399.0,1779.0
247,2024,CO,Arapahoe County,649980,1658.0,1835.0,2201.0,2874.0,3225.0
248,2024,CO,Archuleta County,13588,1056.0,1063.0,1397.0,1969.0,2249.0
249,2024,CO,Baca County,3570,684.0,689.0,905.0,1275.0,1457.0
250,2024,CO,Bent County,5677,771.0,776.0,1020.0,1265.0,1642.0
251,2024,CO,Boulder County,324682,1585.0,1823.0,2217.0,2898.0,3394.0
252,2024,CO,Broomfield County,69444,1658.0,1835.0,2201.0,2874.0,3225.0
253,2024,CO,Chaffee County,19977,1079.0,1086.0,1427.0,1992.0,2422.0
254,2024,CO,Cheyenne County,1999,701.0,706.0,927.0,1298.0,1493.0
255,2024,CO,Clear Creek County,9533,1658.0,1835.0,2201.0,2874.0,3225.0
256,2024,CO,Conejos County,8130,710.0,749.0,905.0,1207.0,1212.0
257,2024,CO,Costilla County,3810,784.0,789.0,1037.0,1333.0,1670.0
258,2024,CO,Crowley County,5733,1023.0,1030.0,1353.0,1660.0,2178.0
259,2024,CO,Custer County,4941,837.0,843.0,1107.0,1423.0,1782.0
260,2024,CO,Delta County,30758,883.0,889.0,1146.0,1556.0,1827.0
261,2024,CO,Denver County,715878,1658.0,1835.0,2201.0,2874.0,3225.0
262,2024,CO,Dolores County,1896,812.0,817.0,1074.0,1380.0,1729.0
263,2024,CO,Douglas County,344280,1658.0,1835.0,2201.0,2874.0,3225.0
264,2024,CO,Eagle County,54960,1572.0,1765.0,2319.0,2809.0,3088.0
265,2024,CO,Elbert County,26230,1658.0,1835.0,2201.0,2874.0,3225.0
266,2024,CO,El Paso County,710499,1190.0,1408.0,1734.0,2444.0,2875.0
267,2024,CO,Fremont County,47725,912.0,918.0,1206.0,1669.0,1866.0
268,2024,CO,Garfield County,59605,1162.0,1170.0,1537.0,2166.0,2438.0
269,2024,CO,Gilpin County,6108,1658.0,1835.0,2201.0,2874.0,3225.0
270,2024,CO,Grand County,15536,1080.0,1186.0,1332.0,1647.0,2260.0
271,2024,CO,Gunnison County,17119,1111.0,1119.0,1470.0,2016.0,2495.0
272,2024,CO,Hinsdale County,781,893.0,928.0,1137.0,1461.0,1831.0
